"season_start","matches","home_win_pct","draw_pct","away_win_pct"
2008,3326,0.47083583884546,0.249849669272399,0.279314491882141
2009,3230,0.474303405572755,0.252012383900929,0.273684210526316
2010,3260,0.466257668711656,0.257361963190184,0.27638036809816
2011,3220,0.465217391304348,0.254037267080745,0.280745341614907
2012,3260,0.442944785276074,0.261656441717791,0.295398773006135
2013,3032,0.463060686015831,0.242744063324538,0.294195250659631
2014,3325,0.449323308270677,0.255639097744361,0.295037593984962
2015,3326,0.438665063138906,0.257065544197234,0.30426939266386
