"fav_bucket","matches","fav_win_rate","upset_rate","avg_fav_prob"
"35-45%",8448,0.414654356060606,0.585345643939394,0.404780790310282
"45-55%",6224,0.503213367609255,0.496786632390745,0.49734362947309
"55-65%",3603,0.604496253122398,0.395503746877602,0.594888189512685
"65-75%",2650,0.715471698113208,0.284528301886792,0.691306948501816
"75%+",1529,0.845650752125572,0.154349247874428,0.797416315100507
